ord_date,ord_time,p_id,quantity_sold,total_sales
2024-12-29,01 : 35 : 48 PM,1,3,150.0
2024-12-29,01 : 35 : 48 PM,84,1,480.0
2024-12-29,01 : 35 : 48 PM,48,2,270.0
2024-12-31,10 : 50 : 42 PM,1,1,50.0
2024-12-31,10 : 50 : 42 PM,36,30,4200.0
2024-12-31,10 : 51 : 14 PM,1,1,50.0
2024-12-31,10 : 52 : 17 PM,1,2,100.0
2024-12-31,10 : 53 : 45 PM,1,1,50.0
2024-12-31,10 : 53 : 45 PM,2,1,60.0
2024-12-31,10 : 54 : 08 PM,1,1,50.0
2024-12-31,10 : 56 : 34 PM,1,1,50.0
2024-12-31,10 : 57 : 02 PM,2,1,60.0
2024-12-31,10 : 58 : 08 PM,3,1,80.0
2024-12-31,11 : 02 : 36 PM,4,1,100.0
2024-12-31,11 : 04 : 42 PM,5,1,120.0
2025-01-03,07 : 59 : 57 PM,5,2,240.0
2025-01-03,07 : 59 : 57 PM,12,5,675.0
2025-01-03,07 : 59 : 57 PM,67,1,310.0
2025-01-03,07 : 59 : 57 PM,86,1,500.0
2025-01-03,07 : 59 : 57 PM,61,3,750.0
2025-01-04,08 : 16 : 44 AM,7,1,75.0
2025-01-04,08 : 16 : 44 AM,19,1,160.0
2025-01-04,08 : 16 : 44 AM,50,1,140.0
2025-01-04,08 : 17 : 10 AM,6,1,90.0
2025-01-04,08 : 17 : 10 AM,69,1,330.0
2025-01-04,08 : 17 : 10 AM,54,1,180.0
2025-01-04,08 : 17 : 55 AM,69,5,1650.0
2025-01-04,08 : 17 : 55 AM,31,4,760.0
2025-01-04,08 : 17 : 55 AM,17,5,750.0
2025-01-06,07 : 08 : 11 PM,9,1,110.0
2025-01-06,07 : 08 : 11 PM,10,1,95.0
2025-01-07,05 : 54 : 38 PM,17,1,150.0
2025-01-07,05 : 54 : 38 PM,89,2,1060.0
2025-01-07,05 : 54 : 38 PM,84,3,1440.0
2025-01-07,05 : 54 : 38 PM,82,2,920.0
2025-01-07,06 : 59 : 06 PM,3,1,80.0
2025-01-08,04 : 36 : 08 PM,90,5,2700.0
2025-01-08,04 : 36 : 08 PM,67,1,310.0
2025-01-08,04 : 36 : 08 PM,68,1,320.0
2025-01-08,09 : 46 : 58 PM,67,1,310.0
2025-01-08,09 : 46 : 58 PM,54,1,180.0
2025-01-08,09 : 46 : 58 PM,72,10,3600.0
2025-01-10,02 : 38 : 27 PM,98,1,620.0
2025-01-10,02 : 38 : 27 PM,67,1,310.0
2025-01-10,02 : 38 : 27 PM,38,1,120.0
2025-01-10,02 : 38 : 27 PM,64,1,280.0
2025-01-10,02 : 39 : 50 PM,87,1,510.0
2025-01-10,02 : 39 : 50 PM,33,1,170.0
2025-01-10,03 : 13 : 09 PM,7,1,75.0
2025-01-10,03 : 28 : 14 PM,16,1,65.0
2025-01-10,03 : 28 : 14 PM,9,1,110.0
2025-01-10,03 : 28 : 47 PM,87,1,510.0
2025-01-10,03 : 30 : 15 PM,76,1,400.0
2025-01-10,06 : 39 : 15 PM,98,1,620.0
2025-01-10,06 : 39 : 15 PM,12,1,135.0
2025-01-10,06 : 39 : 15 PM,64,1,280.0
2025-01-10,06 : 39 : 54 PM,84,1,480.0
2025-01-10,06 : 39 : 54 PM,7,1,75.0
2025-01-11,10 : 32 : 59 AM,102,1,660.0
2025-01-11,10 : 32 : 59 AM,98,1,620.0
2025-01-11,10 : 32 : 59 AM,22,1,160.0
2024-11-01,01 : 10 : 32 AM,1,2,100.0
2024-11-01,01 : 10 : 32 AM,2,1,50.0
2024-11-01,01 : 10 : 32 AM,3,3,150.0
2024-11-01,01 : 15 : 47 AM,4,1,80.0
2024-11-01,01 : 15 : 47 AM,5,2,120.0
2024-11-01,01 : 15 : 47 AM,6,1,90.0
2024-11-01,01 : 20 : 01 AM,7,1,75.0
2024-11-01,01 : 20 : 01 AM,8,4,200.0
2024-11-01,01 : 20 : 01 AM,9,5,250.0
2024-11-01,01 : 25 : 23 AM,10,1,50.0
2024-11-01,01 : 25 : 23 AM,11,3,150.0
2024-11-01,01 : 25 : 23 AM,12,2,100.0
2024-11-02,02 : 30 : 55 AM,13,1,50.0
2024-11-02,02 : 30 : 55 AM,14,2,90.0
2024-11-02,02 : 30 : 55 AM,15,4,200.0
2024-11-02,02 : 35 : 18 AM,16,1,60.0
2024-11-02,02 : 35 : 18 AM,17,1,70.0
2024-11-02,02 : 35 : 18 AM,18,2,100.0
2024-11-02,02 : 40 : 05 AM,19,3,150.0
2024-11-02,02 : 40 : 05 AM,20,4,200.0
2024-11-02,02 : 40 : 05 AM,21,5,250.0
2024-11-02,02 : 45 : 28 AM,22,1,50.0
2024-11-02,02 : 45 : 28 AM,23,3,150.0
2024-11-02,02 : 45 : 28 AM,24,2,100.0
2024-11-03,03 : 12 : 05 AM,25,1,50.0
2024-11-03,03 : 12 : 05 AM,26,2,100.0
2024-11-03,03 : 12 : 05 AM,27,3,150.0
2024-11-03,03 : 17 : 40 AM,28,4,200.0
2024-11-03,03 : 17 : 40 AM,29,5,250.0
2024-11-03,03 : 17 : 40 AM,30,1,50.0
2024-11-03,03 : 22 : 50 AM,31,1,75.0
2024-11-03,03 : 22 : 50 AM,32,2,100.0
2024-11-03,03 : 22 : 50 AM,33,3,150.0
2024-11-03,03 : 27 : 34 AM,34,4,200.0
2024-11-03,03 : 27 : 34 AM,35,5,250.0
2024-11-03,03 : 27 : 34 AM,36,1,60.0
2024-11-04,04 : 18 : 59 AM,37,1,70.0
2024-11-04,04 : 18 : 59 AM,38,3,120.0
2024-11-04,04 : 18 : 59 AM,39,4,160.0
2024-11-04,04 : 23 : 15 AM,40,2,80.0
2024-11-04,04 : 23 : 15 AM,41,5,200.0
2024-11-04,04 : 23 : 15 AM,42,1,50.0
2024-11-04,04 : 30 : 23 AM,43,1,70.0
2024-11-04,04 : 30 : 23 AM,44,3,140.0
2024-11-04,04 : 30 : 23 AM,45,4,180.0
2024-11-04,04 : 34 : 47 AM,46,5,250.0
2024-11-04,04 : 34 : 47 AM,47,1,60.0
2024-11-04,04 : 34 : 47 AM,48,2,90.0
2024-11-05,05 : 19 : 34 AM,49,3,150.0
2024-11-05,05 : 19 : 34 AM,50,4,200.0
2024-11-05,05 : 19 : 34 AM,51,5,250.0
2024-11-05,05 : 25 : 12 AM,52,1,50.0
2024-11-05,05 : 25 : 12 AM,53,2,100.0
2024-11-05,05 : 25 : 12 AM,54,3,150.0
2024-11-05,05 : 30 : 43 AM,55,4,200.0
2024-11-05,05 : 30 : 43 AM,56,5,250.0
2024-11-05,05 : 30 : 43 AM,57,1,60.0
2024-11-05,05 : 35 : 16 AM,58,1,70.0
2024-11-05,05 : 35 : 16 AM,59,2,80.0
2024-11-05,05 : 35 : 16 AM,60,3,90.0

2024-12-01,01 : 10 : 32 AM,1,2,100.0
2024-12-01,01 : 10 : 32 AM,2,1,50.0
2024-12-01,01 : 10 : 32 AM,3,3,150.0
2024-12-01,01 : 15 : 47 AM,4,1,80.0
2024-12-01,01 : 15 : 47 AM,5,2,120.0
2024-12-01,01 : 15 : 47 AM,6,1,90.0
2024-12-01,01 : 20 : 01 AM,7,1,75.0
2024-12-01,01 : 20 : 01 AM,8,4,200.0
2024-12-01,01 : 20 : 01 AM,9,5,250.0
2024-12-01,01 : 25 : 23 AM,10,1,50.0
2024-12-01,01 : 25 : 23 AM,11,3,150.0
2024-12-01,01 : 25 : 23 AM,12,2,100.0
2024-12-02,02 : 30 : 55 AM,13,1,50.0
2024-12-02,02 : 30 : 55 AM,14,2,90.0
2024-12-02,02 : 30 : 55 AM,15,4,200.0
2024-12-02,02 : 35 : 18 AM,16,1,60.0
2024-12-02,02 : 35 : 18 AM,17,1,70.0
2024-12-02,02 : 35 : 18 AM,18,2,100.0
2024-12-02,02 : 40 : 05 AM,19,3,150.0
2024-12-02,02 : 40 : 05 AM,20,4,200.0
2024-12-02,02 : 40 : 05 AM,21,5,250.0
2024-12-02,02 : 45 : 28 AM,22,1,50.0
2024-12-02,02 : 45 : 28 AM,23,3,150.0
2024-12-02,02 : 45 : 28 AM,24,2,100.0
2024-12-03,03 : 12 : 05 AM,25,1,50.0
2024-12-03,03 : 12 : 05 AM,26,2,100.0
2024-12-03,03 : 12 : 05 AM,27,3,150.0
2024-12-03,03 : 17 : 40 AM,28,4,200.0
2024-12-03,03 : 17 : 40 AM,29,5,250.0
2024-12-03,03 : 17 : 40 AM,30,1,50.0
2024-12-03,03 : 22 : 50 AM,31,1,75.0
2024-12-03,03 : 22 : 50 AM,32,2,100.0
2024-12-03,03 : 22 : 50 AM,33,3,150.0
2024-12-03,03 : 27 : 34 AM,34,4,200.0
2024-12-03,03 : 27 : 34 AM,35,5,250.0
2024-12-03,03 : 27 : 34 AM,36,1,60.0
2024-12-04,04 : 18 : 59 AM,37,1,70.0
2024-12-04,04 : 18 : 59 AM,38,3,120.0
2024-12-04,04 : 18 : 59 AM,39,4,160.0
2024-12-04,04 : 23 : 15 AM,40,2,80.0
2024-12-04,04 : 23 : 15 AM,41,5,200.0
2024-12-04,04 : 23 : 15 AM,42,1,50.0
2024-12-04,04 : 30 : 23 AM,43,1,70.0
2024-12-04,04 : 30 : 23 AM,44,3,140.0
2024-12-04,04 : 30 : 23 AM,45,4,180.0
2024-12-04,04 : 34 : 47 AM,46,5,250.0
2024-12-04,04 : 34 : 47 AM,47,1,60.0
2024-12-04,04 : 34 : 47 AM,48,2,90.0
